sym_x,sym_y,seed_category,corr,p_value,half_life,spread_sharpe,spread_sortino,spread_vol,spread_max_dd,spread_pos_ratio,spread_neg_ratio,n_obs,beta,intercept,is_viable,pair_score,pair_label,risk_return_score,stats_quality_score,macro_score,fundamental_score,structure_score,penalty_total,label_rank,is_clone_like
XLY,XRT,us_sectors_rotation,0.7620930046018307,0.6382535485689926,186.3859003369815,0.2344250257587344,0.3208125141944827,0.168024070974068,0.2883833518975844,0.5154362416107383,0.4845637583892617,1491.0,0.6322986366218114,1.768855734474278,False,0.5532261186569207,B-,0.4532261186569207,0.0,0.0,0.0,0.25,0.0,2,False
XME,XLB,us_sectors_rotation,0.794609990843042,0.7322520109179353,177.114554612124,0.227405409100357,0.3365724689830852,0.3124616789830137,0.7318157251294255,0.5046979865771812,0.4953020134228187,1491.0,2.1680776680131504,-4.12690660833199,False,0.5483698228859282,B-,0.4483698228859282,0.0,0.0,0.0,0.25,0.0,2,False
SLV,SIL,commodities,0.764091460978385,0.5512362552224462,228.08153205650527,0.4876530123419709,0.5917114419362755,0.2062028574074976,0.3585589825200226,0.5060402684563758,0.4939597315436241,1491.0,0.6605046884782902,0.7997117907309113,False,0.5346798420469632,B-,0.8946798420469632,0.0,0.0,0.0,0.1,0.4,2,False
XLY,XLC,us_sectors_rotation,0.8166454289716217,0.0400004705733584,63.036749682562174,0.0908342837673049,0.1376149695058124,0.1557242425645962,0.2671555943057155,0.5033557046979866,0.4966442953020134,1491.0,0.7164061853987641,1.3792871210299738,False,0.5338213211339083,B-,0.1818216505352592,0.3599995294266416,0.0,0.0,0.25,0.0,2,False
IWO,IWN,thematic_factor,0.8960286534562696,0.4183224651160259,171.86684874555505,0.2168989275835522,0.3083643645905202,0.1310862028908082,0.4588226812566747,0.5348993288590604,0.4651006711409396,1491.0,0.7420593942497047,1.8465146694846373,False,0.5235775291717829,B-,0.4235775291717829,0.0,0.0,0.0,0.25,0.0,2,False
XLU,TLT,thematic_factor,-0.024499767007739,0.099666979741241,62.80452064798765,0.132927438312824,0.1762244644262696,0.2283399865189807,0.4229439462291164,0.5302013422818792,0.4697986577181208,1491.0,-0.2856793866046381,4.891489150640799,False,0.5180587986677617,B-,0.2478256844866304,0.300333020258759,0.0,0.0,0.15,0.0,2,False
RINF,TIP,fx_macro,0.2277835747413869,0.0180423337421304,65.69422889307538,0.1282995581923482,0.1596408460535957,0.1705377576214059,0.3217288063501211,0.5174496644295302,0.4812080536912752,1491.0,-0.8973028694026778,7.683357306048341,False,0.5009839406833716,B-,0.2336135743028628,0.3819576662578696,0.0,0.0,0.0,0.0,2,False
XLK,SMH,us_sectors_rotation,0.9112941993974696,0.0017166158942421,31.24021113413356,0.0516697953436423,0.0770735756773897,0.1152539261135404,0.1849817146785692,0.5140939597315436,0.4859060402684563,1491.0,0.6857809677559377,0.972705686727668,False,0.4807200328982742,B-,0.1019216640242437,0.3982833841057578,0.0,0.0,0.25,0.0,2,False
ICLN,TAN,thematic_factor,0.9296403339392434,0.1606905730801368,72.3413222492684,0.1038532421368375,0.1458992526681131,0.1179102395020627,0.2687676792708546,0.5174496644295302,0.4818791946308725,1491.0,0.6837195547804188,0.0750737798776817,False,0.4681239642630038,B-,0.2006073654190996,0.2393094269198632,0.0,0.0,0.25,0.0,2,False
XLU,XLP,us_sectors_rotation,0.739832410780657,0.1329544020592712,76.22373166120609,0.0876556808685661,0.1269669833603441,0.1508487391334545,0.3016464736001123,0.5100671140939598,0.489261744966443,1491.0,0.9976521765850296,-0.7344522792920749,False,0.4574315583073148,B-,0.1704996397488047,0.2670455979407287,0.0,0.0,0.25,0.0,2,False
XLV,XLY,us_sectors_rotation,0.6238661565385821,0.1828141800182564,106.76638675872051,0.1093068236133283,0.1629794231805341,0.1435405114740088,0.3281556150998561,0.5,0.4993288590604027,1491.0,0.4931725755642822,2.665394977140388,False,0.4288593815249256,B-,0.216829307537705,0.2171858199817435,0.0,0.0,0.15,0.0,2,False
ICLN,XLE,thematic_factor,0.4386850304398347,0.3172640165353735,162.72841982623763,0.2017801679242471,0.2683149043583053,0.3500458812372536,1.0472141547642044,0.4939597315436241,0.5060402684563758,1491.0,-0.1709920676445826,3.4223371432739373,False,0.4286563178797768,B-,0.3686563178797768,0.0,0.0,0.0,0.15,0.0,2,False
MTUM,QUAL,thematic_factor,0.8731875855894129,0.4272203747037547,164.2697846865761,0.1732331634851122,0.2253643000024666,0.1206849762520177,0.3347047753738712,0.5288590604026846,0.4711409395973154,1491.0,0.8507401858234709,0.9388747551697804,False,0.4242940779793615,B-,0.3242940779793615,0.0,0.0,0.0,0.25,0.0,2,False
GLD,GDX,commodities,0.7488119273160845,0.1991152982994369,90.90897635457216,0.1229133445591238,0.1704673248950021,0.2271803381309109,0.4366389249918025,0.5120805369127517,0.4879194630872483,1491.0,0.8098332362845438,2.3943599456009017,False,0.4141269846761835,B-,0.2335076934857893,0.2008847017005631,0.0,0.0,0.1,0.0,2,False
RINF,IEF,fx_macro,-0.328516553547085,0.003066487016612,43.77782946702148,0.0742805742720055,0.0937903577952115,0.1383330637407743,0.2219845303305687,0.5140939597315436,0.4859060402684563,1491.0,-0.8804500755637263,7.511690673475561,False,0.4133475932104137,B-,0.1354941341220422,0.3969335129833879,0.0,0.0,0.0,0.0,2,False
QQQ,QQQE,us_core_style,0.954528929858216,0.2384489741926572,95.77879291111034,0.1345627701488078,0.2086115421575676,0.140091312110823,0.364012396033786,0.4926174496644295,0.5073825503355704,1491.0,1.5221002443322469,-0.7175249121131513,False,0.4133106017384295,B-,0.2733106017384294,0.2,0.0,0.0,0.0,0.0,2,False
XLE,XOP,us_sectors_rotation,0.9175633791711684,0.2230814284467069,77.37248222893948,0.0934957220978345,0.1187794269743638,0.1650411427953601,0.5384490866518452,0.5080536912751678,0.4919463087248322,1491.0,0.8836100596886284,-0.6010629937306229,False,0.4058723392468524,B-,0.1658723392468524,0.2,0.0,0.0,0.25,0.0,2,False
XLK,SOXX,us_sectors_rotation,0.9086896562160643,0.039130265369928,51.42193587168056,0.0175649415464913,0.0283943138588611,0.1393087504173678,0.2328719972695561,0.4919463087248322,0.5080536912751678,1491.0,0.8777447159469232,-0.0383893081127881,False,0.3853923355433534,B-,0.032783521302303,0.3608697346300719,0.0,0.0,0.25,0.0,2,False
GDXJ,SILJ,commodities,0.9297165570151787,0.4075788385398176,162.598165780814,0.1898048210153426,0.2269595514380417,0.1785664560144551,0.4940512997769017,0.5221476510067115,0.4778523489932886,1491.0,0.9880294644602644,1.344389061333792,False,0.3787954810264338,B-,0.3387954810264338,0.0,0.0,0.0,0.1,0.0,2,False
DBB,PICK,commodities,0.5905760140862433,0.0215143979426637,37.19670016883996,0.0610602868165979,0.0837875197798374,0.1845376446045459,0.3453670447201542,0.5026845637583892,0.4973154362416107,1491.0,0.6663133538024097,0.5087263043628614,False,0.3777441312082165,B-,0.112804209768081,0.3784856020573363,0.0,0.0,0.0,0.0,2,False
EWJ,EWT,intl_equity,0.633537558059308,0.3559833271041578,130.76276741573164,0.1067162658940528,0.1737631613623814,0.1500891331432752,0.2860206457370817,0.4986577181208054,0.5013422818791946,1491.0,0.534248074135646,2.052569549117579,False,0.3626300659329781,B-,0.2226300659329781,0.2,0.0,0.0,0.0,0.0,2,False
IHY,HYG,credit_rates,0.7321158810418914,0.0001460314861988,17.619435819300868,0.0153380873372121,0.0194891645361453,0.1134821650258156,0.1818058594880671,0.4845637583892617,0.5147651006711409,1491.0,1.617217209033171,-4.001318412250541,False,0.3452421632824134,B-,0.0253443853227525,0.3998539685138012,0.0,0.0,0.1,0.0,2,False
XLU,XLV,us_sectors_rotation,0.6656734958274502,0.2107034353153216,92.26828356247536,0.0559281363092523,0.0762969700281952,0.1714116597307286,0.3708454146617779,0.5194630872483221,0.4805369127516778,1491.0,0.6127443729419771,0.562183763222103,False,0.3419191070357534,B-,0.1019191070357534,0.2,0.0,0.0,0.25,0.0,2,False
MSTR,IBIT,crypto,0.7682321320712302,0.2672072397440643,33.857493203775135,0.0195584858230291,0.0263788326999069,0.6382380581613453,0.9079782165964714,0.5094339622641509,0.490566037735849,478.0,1.836002089404565,-1.6380476348363828,True,0.3230552946718412,B-,0.0230552946718412,0.2,0.0,0.0,0.4,0.0,2,False
EWA,EWS,intl_equity,0.7763904898284226,0.1705262756525486,63.57641768454848,0.0641756194361817,0.079545722225078,0.1912284775568627,0.3538180136681319,0.5073825503355704,0.4926174496644295,1491.0,0.5761968028150727,1.4051154365366536,False,0.3134128717635897,B-,0.1127812647203736,0.2294737243474514,0.0,0.0,0.1,0.0,2,False
XLU,XLRE,thematic_factor,0.769715429145175,0.7139424765351835,225.63692510200335,0.3059389549067078,0.4413036405293507,0.1449066154580032,0.1987989161145025,0.5228187919463088,0.4771812080536913,1491.0,0.6183390570424271,1.2572847557845803,False,0.3108755249549633,B-,0.6108755249549633,0.0,0.0,0.0,0.25,0.4,2,False
RINF,TLT,fx_macro,-0.3389059849900726,0.009810247616626,51.55034332326108,0.0207924323605912,0.0260560062267081,0.1372105253834285,0.2269238011426413,0.5080536912751678,0.4919463087248322,1491.0,-0.3749392136425882,5.203233549068224,False,0.3076259873647959,B-,0.0344931606964341,0.390189752383374,0.0,0.0,0.0,0.0,2,False
VLUE,SPYV,thematic_factor,0.9588878394314296,0.5800793340728203,166.15270633146332,0.1135586985089538,0.1483064894143991,0.1040534356463315,0.2475015770815183,0.5120805369127517,0.4879194630872483,1491.0,0.6917260396974472,1.9982049801239263,False,0.2724232095574029,C,0.2124232095574029,0.0,0.0,0.0,0.15,0.0,1,False
IYT,XLI,us_sectors_rotation,0.9049232552932068,0.2223690776259486,98.65057089057586,0.0163088670924713,0.0235548574891198,0.1382652608858404,0.3012268598902716,0.5100671140939598,0.4899328859060403,1491.0,0.6707089887550087,0.9716593961114262,False,0.2667727301370498,C,0.0267727301370497,0.2,0.0,0.0,0.25,0.0,1,False
SPY,IWM,us_core_style,0.8676063276446935,0.5505892800321472,238.1862864086374,0.3111613501762671,0.4528592466084555,0.1565511730852953,0.4453210548141877,0.5181208053691275,0.4818791946308725,1491.0,1.108976471635844,0.2573927744096362,False,0.2592564017059023,C,0.6192564017059023,0.0,0.0,0.0,0.1,0.4,1,False
XLP,XLY,us_sectors_rotation,0.5663978628848634,0.0542929887262799,63.81543823970924,-0.0237819165405256,-0.0340537293930277,0.1367928132269064,0.2482344138344094,0.4919463087248322,0.5080536912751678,1491.0,0.3889973197591276,2.554310160639329,False,0.2494106924992707,C,-0.0525842153923332,0.34570701127372,0.0,0.0,0.15,0.0,1,False
EWY,EWT,intl_equity,0.7557399657411964,0.3787599834466945,124.51259895979474,0.0347964240430926,0.0576542712157745,0.1843120914901929,0.5683024500470513,0.4932885906040268,0.5067114093959731,1491.0,0.8411255623181768,0.8876468390151766,False,0.2437883648931938,C,0.0637883648931938,0.2,0.0,0.0,0.1,0.0,1,False
EWY,EWJ,intl_equity,0.6696096977208601,0.4471892059701864,150.60475472241475,0.0896265263391893,0.1317330738103886,0.2093745022544618,0.6077227484889267,0.5040268456375839,0.4959731543624161,1491.0,0.9117725002606606,0.4083852466869087,False,0.2096852230366828,C,0.1696852230366828,0.0,0.0,0.0,0.1,0.0,1,False
SOXX,SMH,thematic_factor,0.9894139171046218,0.2211838478750337,87.13752208135135,0.0819297473173453,0.1170468997429745,0.105615365037721,0.2770352521900872,0.5033557046979866,0.4966442953020134,1491.0,0.7642723184741524,1.2367836043260052,False,0.2014232536832623,C,0.1583218720936257,0.2,0.0,0.0,0.15,0.1568986184103634,1,False
XLB,XLI,us_sectors_rotation,0.8951319917879624,0.3093281063042662,129.18366865119293,-0.0157506063372483,-0.0234582316177072,0.1259835550152741,0.3235514321546353,0.5120805369127517,0.4879194630872483,1491.0,0.6194913241941477,0.7978252246580144,False,0.2013576028872638,C,-0.0386423971127361,0.2,0.0,0.0,0.25,0.0,1,False
DBB,XME,commodities,0.4853442179376152,0.2410980036283143,102.90573802018824,0.0265375122287822,0.0365685788280174,0.1753809359046383,0.4593696488596315,0.5006711409395973,0.497986577181208,1491.0,0.2993943613056244,1.7819835512459894,False,0.1829481244312018,C,0.0429481244312018,0.2,0.0,0.0,0.0,0.0,1,False
EPI,PIN,intl_equity,0.9152625648885114,0.632510552882264,223.68668733650537,0.2398555346949722,0.4310449576909381,0.1494639006142657,0.3387205389745191,0.4966442953020134,0.5026845637583892,1491.0,1.4790637936239432,-1.1491667393623222,False,0.1748125942991385,C,0.5348125942991385,0.0,0.0,0.0,0.1,0.4,1,False
PICK,XME,commodities,0.8477896826177251,0.3252136545308619,139.1744365660665,-0.0253708096077158,-0.0345255884632633,0.1980984028578274,0.5496890733299153,0.5,0.4993288590604027,1491.0,0.4257707610496418,2.0015007909316878,False,0.1194674970014014,C,-0.0605325029985985,0.2,0.0,0.0,0.1,0.0,1,False
