sym_x,sym_y,seed_category,corr,p_value,half_life,spread_sharpe,spread_sortino,spread_vol,spread_max_dd,spread_pos_ratio,spread_neg_ratio,n_obs,beta,intercept,is_viable,pair_score,pair_label,risk_return_score,stats_quality_score,macro_score,fundamental_score,structure_score,penalty_total
EWU,EZU,intl_equity,0.8973184754755877,0.09061705157616512,82.36725916973585,-0.10788538359015751,-0.1475275177090019,0.09654135745060992,0.23742388283978721,0.5208053691275167,0.4791946308724832,1491.0,0.742019879676133,0.6499145999400531,False,0.04066494025342984,C,-0.2159031236432546,0.3093829484238349,0.0,0.0,0.1,0.0
IWM,IJR,us_core_style,0.9781662676508515,0.6602845269048875,247.03761876221301,0.22239698745863173,0.3131082247822622,0.05982068051280543,0.1803839919046304,0.5241610738255034,0.47583892617449663,1491.0,0.9029563506920343,1.113154544012482,False,0.037965064968122575,C,0.4379650649681226,0.0,0.0,0.0,0.0,0.4
PGX,LQD,fx_macro,0.46017377887293953,0.0003519566194789927,15.00286418591048,-0.14036540035012487,-0.1527788534243336,0.1570135682416025,0.24617406287163446,0.4919463087248322,0.5080536912751678,1491.0,1.1526676183012694,-2.9433938391881216,False,0.027519551361773698,C,-0.25223407900459105,0.39964804338052107,0.0,0.0,0.0,0.0
SRLN,LQD,fx_macro,0.3300298918620563,0.007385850129940888,30.71484975894843,-0.14918178540129223,-0.1485858870288925,0.07610091979645586,0.21816227572560143,0.5248322147651007,0.47516778523489933,1491.0,0.3753076254405704,1.9732407850796323,False,0.017274753073012405,C,-0.257555151836029,0.39261414987005916,0.0,0.0,0.0,0.0
DVY,SCHD,thematic_factor,0.9451465150024774,0.03307966246899168,85.04632061730972,-0.17117985695667787,-0.2345147391280988,0.07147356580168081,0.21981375938729286,0.508724832214765,0.4912751677852349,1491.0,1.0311115606195655,1.4626429750773857,False,0.017107786737612957,C,-0.3397364495340929,0.36692033753100833,0.0,0.0,0.25,0.0
SOXX,XSD,thematic_factor,0.96301743404298,0.4124895553550405,173.6691967542364,-0.02602594594726198,-0.04165045555376261,0.13382893899470857,0.33700888604299717,0.5026845637583892,0.49731543624161073,1491.0,1.1350942865116878,-0.9120259999363647,False,-0.0019214425557557424,D,-0.06192144255575574,0.0,0.0,0.0,0.15,0.0
PFF,HYG,fx_macro,0.7353586786157011,0.1744277080478659,55.5247208838418,-0.11973570423313981,-0.13436590516331112,0.1119789468288786,0.202765954071642,0.5060402684563758,0.49395973154362416,1491.0,1.3800944185584278,-2.5341966826379583,False,-0.019946552562396525,D,-0.21784715692889042,0.22557229195213413,0.0,0.0,0.1,0.0
IEMG,EEM,intl_equity,0.9976071454082197,0.5753964054334596,296.07976435503554,0.3641978033021308,0.43885574935579685,0.01531149118902881,0.028504526198894542,0.5288590604026846,0.4704697986577181,1491.0,0.9686944343761765,0.325299162712541,False,-0.022625686143118107,D,0.6708267373272107,0.0,0.0,0.0,0.0,0.6934524234703288
GLD,IAU,commodities,0.9985760447526046,3.380423597443616e-05,9.234432849050073,0.0017338201802289386,0.002278415702565934,0.008869592552558129,0.008058560392455227,0.5060402684563758,0.49328859060402686,1491.0,0.9910220200146757,1.623202560139946,False,-0.02645686887775045,D,0.0031675399641759878,0.3999661957640256,0.0,0.0,0.0,0.30960074587674435
EIDO,EWS,intl_equity,0.6556242272718863,0.04337106336258905,55.23385712596798,-0.1640459917285109,-0.1957598919874761,0.3015406381919295,0.9043522924829621,0.508724832214765,0.4912751677852349,1491.0,-0.2198288936695,3.7154711709773998,False,-0.029524706323215744,D,-0.3191649619694034,0.35662893663741096,0.0,0.0,0.1,0.0
IAU,GLD,commodities,0.9985760447526045,3.3534572704494086e-05,9.234946461177,-0.001016286806613123,-0.0014104610097831964,0.008948379894984983,0.005787948210473459,0.49328859060402686,0.5060402684563758,1491.0,1.0090208539123777,-1.6377047807380851,False,-0.0317435885553064,D,-0.0021193684776708295,0.3999664654272955,0.0,0.0,0.0,0.30960074587674247
IWD,IWF,us_core_style,0.7885543819049549,0.04625506443884063,69.66297264205917,-0.16378492861386648,-0.22665571144811675,0.12772829559350968,0.3028326086322872,0.4959731543624161,0.5040268456375839,1491.0,0.5598148225407469,1.9082506921373419,False,-0.04087912390738235,D,-0.3285005788001939,0.3537449355611594,0.0,0.0,0.1,0.0
UUP,GLD,commodities,-0.41155999641512636,0.38276697951221045,158.69786186083695,-0.019547817897607067,-0.024979884517716537,0.08783709964180271,0.19427800507911508,0.5181208053691275,0.4818791946308725,1491.0,0.08588086628300542,2.851483900385456,False,-0.04091929716159094,D,-0.04091929716159094,0.0,0.0,0.0,0.0,0.0
VWOB,EMB,credit_rates,0.9790916104643351,0.12095120435410195,29.919344269718884,-0.13193702406167648,-0.15765423815019905,0.023906889109966554,0.04853317823214276,0.5093959731543625,0.489261744966443,1491.0,0.9711457572684906,-0.20660198034331856,False,-0.04793149737933003,D,-0.24326565433145866,0.2790487956458981,0.0,0.0,0.0,0.0
VCIT,VCSH,credit_rates,0.8349024779686159,0.09825912432721295,72.93521312594947,-0.16170270529394168,-0.19633286288668864,0.05145568627979162,0.19260121857463197,0.4785234899328859,0.5208053691275167,1491.0,2.2050478129901854,-5.1890516116849685,False,-0.05176912071516543,D,-0.30298773368611637,0.30174087567278707,0.0,0.0,0.1,0.0
EEM,EFA,intl_equity,0.8379817580643354,0.5255625627555873,177.77366230001516,-0.04505758843110983,-0.0643700749875299,0.12975379159273814,0.40146793310962003,0.512751677852349,0.487248322147651,1491.0,0.6839798764132934,0.8429355249345853,False,-0.058145999584573144,D,-0.09814599958457315,0.0,0.0,0.0,0.1,0.0
EWZ,EWW,intl_equity,0.6633382418516814,0.0032919976419699447,38.61594036405413,-0.19892657892157423,-0.232956457227965,0.3624937783169206,0.7910870728526236,0.5174496644295302,0.4825503355704698,1491.0,0.07292592762789012,3.1402912517916755,False,-0.060122238787581134,D,-0.37781784043820216,0.39670800235803005,0.0,0.0,0.1,0.0
UUP,FXY,fx_macro,-0.5788647078835031,0.08592142697134791,72.53643567581972,-0.15645239235827285,-0.18406368105981566,0.0672533552982203,0.14874274244598062,0.5006711409395973,0.4993288590604027,1491.0,-0.35095790679114386,4.804642143086266,False,-0.06841682282900696,D,-0.2882718239490634,0.3140785730286521,0.0,0.0,0.0,0.0
IWB,IWF,us_core_style,0.9598051464873536,0.059718829669345365,73.54110895293903,-0.15313800037476524,-0.21793954981076413,0.06010018284309298,0.13689180368851606,0.48322147651006714,0.5167785234899329,1491.0,0.8006408096831585,0.9947750812245193,False,-0.07023670208461222,D,-0.30843352131607044,0.34028117033065464,0.0,0.0,0.0,0.0
FXA,EFA,fx_macro,0.6270135631108104,0.2670005940200857,123.12967291324617,-0.10302808337302748,-0.1499459442819951,0.10723452072649073,0.2945682561313516,0.5033557046979866,0.4966442953020134,1491.0,0.013577748183461323,4.158114566888912,False,-0.07388160949305106,D,-0.21388160949305104,0.2,0.0,0.0,0.0,0.0
USO,XES,commodities,0.5939699710889851,0.018046409081495098,64.26270279468194,-0.17452920910051178,-0.21269328303764848,0.4003346131662721,1.324714266396315,0.5208053691275167,0.4791946308724832,1491.0,0.8883334291122481,0.3973766630886373,False,-0.0825412789118386,D,-0.349908792554792,0.3819535909185049,0.0,0.0,0.0,0.0
HYG,HYS,credit_rates,0.9489093032604298,0.5698776889408135,154.97257175291338,-0.05804709154439623,-0.09132234385226061,0.040057239700684526,0.1378763810084953,0.46442953020134226,0.5355704697986577,1491.0,1.438049316295529,-2.1482491288075876,False,-0.08473025986114856,D,-0.12473025986114857,0.0,0.0,0.0,0.1,0.0
